Species,Treatment,Concentration,Incubation,LarvaeIn,LarvaeAlive,LarvaeDead,Settled,Stain,
spathulata,NeutralRed,0.1,24,20,0,17,0,Heavy,
spathulata,NeutralRed,0.1,24,20,2,17,1,Heavy,
spathulata,NeutralRed,0.1,24,20,0,14,0,Heavy,
spathulata,NeutralRed,0.01,24,20,0,19,0,Heavy,
spathulata,NeutralRed,0.01,24,20,0,20,0,Heavy,
spathulata,NeutralRed,0.01,24,20,0,8,0,Heavy,
spathulata,NeutralRed,0.001,24,20,7,13,0,Medium,
spathulata,NeutralRed,0.001,24,20,16,4,0,Medium,
spathulata,NeutralRed,0.001,24,20,19,1,0,Medium,
spathulata,NeutralRed,0.1,12,20,0,16,0,Heavy,
spathulata,NeutralRed,0.1,12,20,3,15,1,Heavy,
spathulata,NeutralRed,0.1,12,20,0,16,1,Heavy,
spathulata,NeutralRed,0.01,12,20,0,10,0,Heavy,
spathulata,NeutralRed,0.01,12,20,0,16,0,Heavy,
spathulata,NeutralRed,0.01,12,20,0,16,0,Heavy,
spathulata,NeutralRed,0.001,12,20,13,6,0,Medium,
spathulata,NeutralRed,0.001,12,20,15,5,2,Medium,
spathulata,NeutralRed,0.001,12,20,8,8,0,Medium,
spathulata,NeutralRed,0.1,6,20,5,15,1,Heavy,
spathulata,NeutralRed,0.1,6,20,1,19,0,Heavy,
spathulata,NeutralRed,0.1,6,20,18,2,1,Heavy,
spathulata,NeutralRed,0.01,6,20,0,20,0,Heavy,
spathulata,NeutralRed,0.01,6,20,1,19,1,Heavy,
spathulata,NeutralRed,0.01,6,20,0,16,0,Heavy,
spathulata,NeutralRed,0.001,6,20,10,10,0,Light,
spathulata,NeutralRed,0.001,6,20,20,0,1,Light,
spathulata,NeutralRed,0.001,6,20,13,7,0,Light,
spathulata,NeutralRed,0.1,1,20,5,15,3,Heavy,
spathulata,NeutralRed,0.1,1,20,5,15,4,Heavy,
spathulata,NeutralRed,0.1,1,20,7,13,8,Heavy,
spathulata,NeutralRed,0.01,1,20,5,15,4,Heavy,
spathulata,NeutralRed,0.01,1,20,3,17,1,Heavy,
spathulata,NeutralRed,0.01,1,20,3,17,1,Heavy,
spathulata,NeutralRed,0.001,1,20,20,0,2,None,
spathulata,NeutralRed,0.001,1,20,20,0,0,None,
spathulata,NeutralRed,0.001,1,20,20,0,2,None,
spathulata,AlizarinRed,0.1,24,20,20,0,0,None,
spathulata,AlizarinRed,0.1,24,20,17,3,1,None,
spathulata,AlizarinRed,0.1,24,20,18,2,0,None,
spathulata,AlizarinRed,0.01,24,20,14,6,2,None,
spathulata,AlizarinRed,0.01,24,20,16,4,1,None,
spathulata,AlizarinRed,0.01,24,20,16,4,0,None,
spathulata,AlizarinRed,0.001,24,20,15,5,0,None,
spathulata,AlizarinRed,0.001,24,20,16,4,3,None,
spathulata,AlizarinRed,0.001,24,20,16,4,0,None,
spathulata,AlizarinRed,0.1,12,20,20,0,6,None,
spathulata,AlizarinRed,0.1,12,20,20,0,0,None,
spathulata,AlizarinRed,0.1,12,20,17,3,1,None,
spathulata,AlizarinRed,0.01,12,20,17,3,2,None,
spathulata,AlizarinRed,0.01,12,20,20,0,0,None,
spathulata,AlizarinRed,0.01,12,20,17,3,2,None,
spathulata,AlizarinRed,0.001,12,20,20,0,3,None,
spathulata,AlizarinRed,0.001,12,20,19,1,2,None,
spathulata,AlizarinRed,0.001,12,20,16,4,0,None,
spathulata,AlizarinRed,0.1,6,20,20,0,2,None,
spathulata,AlizarinRed,0.1,6,20,20,0,4,None,
spathulata,AlizarinRed,0.1,6,20,20,0,2,None,
spathulata,AlizarinRed,0.01,6,20,20,0,2,None,
spathulata,AlizarinRed,0.01,6,20,19,1,1,None,
spathulata,AlizarinRed,0.01,6,20,20,0,3,None,
spathulata,AlizarinRed,0.001,6,20,20,0,5,None,
spathulata,AlizarinRed,0.001,6,20,17,3,3,None,
spathulata,AlizarinRed,0.001,6,20,20,0,5,None,
spathulata,AlizarinRed,0.1,1,20,20,0,6,Light,
spathulata,AlizarinRed,0.1,1,20,20,0,3,Light,
spathulata,AlizarinRed,0.1,1,20,20,0,0,Light,
spathulata,AlizarinRed,0.01,1,20,20,0,6,None,
spathulata,AlizarinRed,0.01,1,20,20,0,0,None,
spathulata,AlizarinRed,0.01,1,20,20,0,3,None,
spathulata,AlizarinRed,0.001,1,20,20,0,4,None,
spathulata,AlizarinRed,0.001,1,20,20,0,2,None,
spathulata,AlizarinRed,0.001,1,20,20,0,9,None,
spathulata,NileBlue,0.1,24,20,14,6,0,Heavy,
spathulata,NileBlue,0.1,24,20,16,4,2,Heavy,
spathulata,NileBlue,0.1,24,20,17,0,2,Heavy,
spathulata,NileBlue,0.01,24,20,19,1,3,Medium,
spathulata,NileBlue,0.01,24,20,18,2,2,Medium,
spathulata,NileBlue,0.01,24,20,18,2,3,Medium,
spathulata,NileBlue,0.001,24,20,17,3,1,Medium,
spathulata,NileBlue,0.001,24,20,20,0,1,Medium,
spathulata,NileBlue,0.001,24,20,20,0,1,Medium,
spathulata,NileBlue,0.1,12,20,18,2,0,Heavy,
spathulata,NileBlue,0.1,12,20,15,5,1,Heavy,
spathulata,NileBlue,0.1,12,20,17,3,3,Heavy,
spathulata,NileBlue,0.01,12,20,20,0,4,Heavy,
spathulata,NileBlue,0.01,12,20,19,1,3,Heavy,
spathulata,NileBlue,0.01,12,20,18,2,1,Heavy,
spathulata,NileBlue,0.001,12,20,15,0,4,Medium,
spathulata,NileBlue,0.001,12,20,20,0,1,Medium,
spathulata,NileBlue,0.001,12,20,18,2,3,Medium,
spathulata,NileBlue,0.1,6,20,20,0,7,Heavy,
spathulata,NileBlue,0.1,6,20,20,0,1,Heavy,
spathulata,NileBlue,0.1,6,20,20,0,3,Heavy,
spathulata,NileBlue,0.01,6,20,20,0,2,Heavy,
spathulata,NileBlue,0.01,6,20,18,2,5,Heavy,
spathulata,NileBlue,0.01,6,20,19,1,1,Heavy,
spathulata,NileBlue,0.001,6,20,18,2,5,Light,
spathulata,NileBlue,0.001,6,20,18,2,2,Light,
spathulata,NileBlue,0.001,6,20,19,1,0,Light,
spathulata,NileBlue,0.1,1,20,18,0,5,Heavy,
spathulata,NileBlue,0.1,1,20,20,0,4,Heavy,
spathulata,NileBlue,0.1,1,20,20,0,4,Heavy,
spathulata,NileBlue,0.01,1,20,20,0,6,Light,
spathulata,NileBlue,0.01,1,20,20,0,6,Light,
spathulata,NileBlue,0.01,1,20,20,0,9,Light,
spathulata,NileBlue,0.001,1,20,20,0,2,Light,
spathulata,NileBlue,0.001,1,20,20,0,4,Light,
spathulata,NileBlue,0.001,1,20,18,0,3,Light,
spathulata,CalceinBlue,0.1,24,20,15,5,0,None,
spathulata,CalceinBlue,0.1,24,20,18,2,0,None,
spathulata,CalceinBlue,0.1,24,20,20,0,2,None,
spathulata,CalceinBlue,0.01,24,20,11,9,3,None,
spathulata,CalceinBlue,0.01,24,20,13,7,3,None,
spathulata,CalceinBlue,0.01,24,20,15,5,0,None,
spathulata,CalceinBlue,0.001,24,20,13,7,0,None,
spathulata,CalceinBlue,0.001,24,20,19,1,3,None,
spathulata,CalceinBlue,0.001,24,20,16,4,0,None,
spathulata,CalceinBlue,0.1,12,20,14,6,0,None,
spathulata,CalceinBlue,0.1,12,20,18,2,0,None,
spathulata,CalceinBlue,0.1,12,20,19,1,3,None,
spathulata,CalceinBlue,0.01,12,20,18,2,0,None,
spathulata,CalceinBlue,0.01,12,20,19,1,1,None,
spathulata,CalceinBlue,0.01,12,20,17,3,0,None,
spathulata,CalceinBlue,0.001,12,20,18,2,0,None,
spathulata,CalceinBlue,0.001,12,20,20,0,2,None,
spathulata,CalceinBlue,0.001,12,20,19,1,7,None,
spathulata,CalceinBlue,0.1,6,20,20,0,0,None,
spathulata,CalceinBlue,0.1,6,20,19,2,0,None,
spathulata,CalceinBlue,0.1,6,20,20,0,2,None,
spathulata,CalceinBlue,0.01,6,20,18,2,3,None,
spathulata,CalceinBlue,0.01,6,20,18,0,3,None,
spathulata,CalceinBlue,0.01,6,20,20,0,1,None,
spathulata,CalceinBlue,0.001,6,20,18,2,0,None,
spathulata,CalceinBlue,0.001,6,20,20,0,5,None,
spathulata,CalceinBlue,0.001,6,20,18,2,4,None,
spathulata,CalceinBlue,0.1,1,20,20,0,5,None,
spathulata,CalceinBlue,0.1,1,20,20,0,2,None,
spathulata,CalceinBlue,0.1,1,20,20,0,1,None,
spathulata,CalceinBlue,0.01,1,20,20,0,4,None,
spathulata,CalceinBlue,0.01,1,20,20,0,3,None,
spathulata,CalceinBlue,0.01,1,20,20,0,5,None,
spathulata,CalceinBlue,0.001,1,20,19,0,4,None,
spathulata,CalceinBlue,0.001,1,20,20,0,1,None,
spathulata,CalceinBlue,0.001,1,20,20,0,4,None,
spathulata,Control,0,12,20,20,0,3,None,
spathulata,Control,0,12,20,17,3,3,None,
spathulata,Control,0,12,20,18,2,5,None,
spathulata,Control,0,12,20,18,2,5,None,
spathulata,Control,0,12,20,18,2,0,None,
,,,,,,,,, 